Model,Accuracy,Precision,Recall,F1-Score,AUC,Type
Loan Approval,0.9210687156203615,0.797987670941685,0.7640952574801547,0.7806737834465548,0.970354226611052,Binary
EMI Eligibility,0.9719985177865612,0.9697970046859091,0.9719985177865612,0.9701850215793508,0.0,Multiclass
