Prepayment Amount,Savings,ROI,New EMI,EMI Reduction
"₹25,000",-21139.70666318282,-84.55882665273128,15300.113952115205,951.1078002282047
"₹50,000",-17606.47265633638,-35.21294531267276,14349.006151886993,1902.2156004564167
"₹75,000",-14073.238649490057,-18.764318199320076,13397.898351658781,2853.3234006846287
"₹100,000",-10540.004642643617,-10.540004642643616,12446.790551430568,3804.4312009128425
"₹150,000",-3473.536628950853,-2.3156910859672353,10544.574950974142,5706.646801369268
"₹200,000",3592.9313847419107,1.7964656923709552,8642.359350517716,7608.862401825694
